,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
3144,France,"Typical Beaune in its round, soft character. If the tannins are not particularly powerful, it still shows a generous nature, with super-ripe fruits supported by some dryness. The finish is jammy, ripe, a salad of red berries.",Les Marconnets Premier Cru,89,41.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2009 Les Marconnets Premier Cru  (Beaune),Pinot Noir,Bouchard Aîné & Fils, 2009 Les Marconnets Premier Cru  (Beaune),2009,Mid
3335,France,"The wine is tight, green and herbal. It has some fruitiness, but that is suppressed by general underripeness. The tannins are hard at the end.",,84,28.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2015  Chorey-lès-Beaune,Pinot Noir,Joseph Drouhin, 2015  Chorey-lès-Beaune,2015,Bad
3342,France,"This tight wine has red fruit acidity without the richness. With its green edge, it's likely to remain full of acidity even as it matures.",,84,29.0,Burgundy,Ladoix,,Roger Voss,@vossroger,Pierre André 2015  Ladoix,Pinot Noir,Pierre André, 2015  Ladoix,2015,Bad
3347,France,"A firm wine that is mainly tannin without a great fruit element. It is dry, tight and hard-edged.",Les Hâtes,84,40.0,Burgundy,Santenay,,Roger Voss,@vossroger,Demessey 2015 Les Hâtes  (Santenay),Pinot Noir,Demessey, 2015 Les Hâtes  (Santenay),2015,Bad
3691,France,"This is an austere wine, packed with tannins and tight acidity. The red fruits are right at the back behind the firm structure. A mineral character supports the dusty texture and suggests long-term aging. Drink from 2022.",Cent-Vignes Premier Cru,91,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2016 Cent-Vignes Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2016 Cent-Vignes Premier Cru  (Beaune),2016,Good
3963,France,"A solid, dense wine, packed with tannins and with a dry core. The soft fruit has flavors of strawberry, hinting at richness to come. At this early stage, tannins and acidity are still forming. Hold for five years.",Les Beaumonts Premier Cru,90,140.0,Burgundy,Vosne-Romanée,,Roger Voss,@vossroger,Louis Latour 2012 Les Beaumonts Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Latour, 2012 Les Beaumonts Premier Cru  (Vosne-Romanée),2012,Mid
3964,France,"There is a voluptuous edge to this generous wine. It has rich flavors, some strawberry and plum juice. The final extreme freshness shows through the layer of firm tannins. For aging over 4–5 years.",Les Damodes Premier Cru,90,95.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,Louis Latour 2012 Les Damodes Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Latour, 2012 Les Damodes Premier Cru  (Nuits-St-Georges),2012,Mid
4036,France,"The wine is ripe, balanced and likely to be ready to drink soon. With its plump fruitiness and texture, it is a full wine. Rich red-berry fruits are gently balanced by acidity and supported with a light layer of tannins. It will be very drinkable from late 2021.",Charmes,88,32.0,Burgundy,Santenay,,Roger Voss,@vossroger,Domaine Julie Belland 2018 Charmes  (Santenay),Pinot Noir,Domaine Julie Belland, 2018 Charmes  (Santenay),2018,Mid
4184,France,"From vineyards outside the main village appellations of the Côte de Nuits, this is a firm, almost austere wine. It has a dry extract character that is suppressing the red plum and berry fruit flavors. Give it time, although it is probably always going to be dry.",,87,60.0,Burgundy,Côtes de Nuits Villages,,Roger Voss,@vossroger,Louis Max 2017  Côtes de Nuits Villages,Pinot Noir,Louis Max, 2017  Côtes de Nuits Villages,2017,Mid
4204,France,"Produced by the cooperative of the Hautes Côtes, this wine is bright and fruity. It has light tannins and warm, red cherry character. With its acidity and structure it could age, although not for long. Drink from 2022.",,87,18.0,Burgundy,Bourgogne Hautes Côtes de Beaune,,Roger Voss,@vossroger,Nuiton-Beaunoy 2019  Bourgogne Hautes Côtes de Beaune,Pinot Noir,Nuiton-Beaunoy, 2019  Bourgogne Hautes Côtes de Beaune,2019,Mid
4208,France,"From the hills to the west of Nuits-St.-Georges, this is a crisp, red berry-flavored wine. It has light tannins and juicy, perfumed fruit—all in balance and ready to drink soon, from 2022.",,87,23.0,Burgundy,Bourgogne Hautes Côtes de Nuits,,Roger Voss,@vossroger,Pierre Gruber 2018  Bourgogne Hautes Côtes de Nuits,Pinot Noir,Pierre Gruber, 2018  Bourgogne Hautes Côtes de Nuits,2018,Mid
4386,France,The red wine from this vineyard (which also produces a white) is firm with layers of toast from wood aging as well as the potential for ripe red fruits. It is going to need some time to lose that spicy flavor that currently dominates the wine. Give it until 2021.,Les Gravières Premier Cru,88,45.0,Burgundy,Santenay,,Roger Voss,@vossroger,Domaine Jessiaume 2019 Les Gravières Premier Cru  (Santenay),Pinot Noir,Domaine Jessiaume, 2019 Les Gravières Premier Cru  (Santenay),2019,Mid
4387,France,"This aromatic wine is delicious Pinot Noir. With fine ripe red fruits that are shot through with tannins for aging and crisp acidity for refreshing drinking, this is a rich wine that should be drunk now.",Mont-Avril,88,24.0,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Domaine Michel Goubard 2019 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard, 2019 Mont-Avril  (Côte Chalonnaise),2019,Mid
4401,France,"The wine is ripe and warm with generous red-berry fruits and touches of spice. The wine is rounded, full of fruitiness with a layer of tannins that is nicely judged to give support and breadth to the fruit. Drink from 2023.",Vieilles Vignes,88,31.0,Burgundy,Bourgogne Hautes Côtes de Nuits,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2019 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Jean-Luc and Paul Aegerter, 2019 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),2019,Mid
4484,France,This wine comes from a four-acre parcel of 55-year-old vines. It has the concentration that is so special to old vines. That goes with the ripe red fruits and generous tannins that give the wine great richness. It is a young wine still even though so fruity and will be better to drink from 2023.,Vieilles Vignes,91,64.0,Burgundy,Volnay,,Roger Voss,@vossroger,Domaine Henri Delagrange 2018 Vieilles Vignes  (Volnay),Pinot Noir,Domaine Henri Delagrange, 2018 Vieilles Vignes  (Volnay),2018,Good
4497,France,"The mature vines in the name of the wine are 40-years-old. The result is a firm structured wine although one with plenty of soft red fruits in the background. They are developing well, bringing with them acidity and good potential. Drink this wine from 2022.",Closerie des Alisiers Vieilles Vignes,91,48.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Maison Stéphane Brocard 2018 Closerie des Alisiers Vieilles Vignes  (Gevrey-Chambertin),Pinot Noir,Maison Stéphane Brocard, 2018 Closerie des Alisiers Vieilles Vignes  (Gevrey-Chambertin),2018,Good
5230,France,"Still young and firm, this wine gives indications of potential fruitiness along with a structure that promises concentration. Layers of black fruits and acidity need time to integrate fully with the dark structure and dense texture. Wait to drink this wine for a few more years, at least until 2022.",,91,104.0,Burgundy,Corton Les Renardes,,Roger Voss,@vossroger,Domaine Maillard 2015  Corton Les Renardes,Pinot Noir,Domaine Maillard, 2015  Corton Les Renardes,2015,Good
5234,France,"This beautifully perfumed wine comes from one of the highest in elevation premier cru vineyards. The tannins have fully integrated with the red berry and cherry fruits to give a soft, jammy character that contrasts with acidity to give a great lift at the end. Drink this sophisticated wine from 2022.",Les Chaumées Premier Cru,91,65.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Au Pied du Mont Chauve 2016 Les Chaumées Premier Cru  (Chassagne-Montrachet),Pinot Noir,Au Pied du Mont Chauve, 2016 Les Chaumées Premier Cru  (Chassagne-Montrachet),2016,Good
5255,France,"The two parcels that go into this wine have performed well in 2016. This solid, dense wine is firm with tannins and rich with red plum and berry fruits. It is perfumed, ripe and concentrated. With this structure and with the acidity, it will age, so drink from 2022.",Les Brunettes et Planchots,91,55.0,Burgundy,Aloxe-Corton,,Roger Voss,@vossroger,Château de Santenay 2016 Les Brunettes et Planchots  (Aloxe-Corton),Pinot Noir,Château de Santenay, 2016 Les Brunettes et Planchots  (Aloxe-Corton),2016,Good
5388,France,"This is a style of Pinot Noir that needs to be drunk chilled. It brings out the smoky, stalky character of the wine that dominates the bitter cherry fruits. It's still young and needs another year to come together.",Tradition,85,20.0,Loire Valley,Menetou-Salon,,Roger Voss,@vossroger,Chavet Fils 2016 Tradition  (Menetou-Salon),Pinot Noir,Chavet Fils, 2016 Tradition  (Menetou-Salon),2016,Bad
5753,France,"Three barrels were made of this structured, tannic wine that offers a juicy balance between acidity and dark tannins. It is perfumed with acidity that cuts through the red berry and dry concentration. It is a dense wine, full of fruit. Drink from 2023.",Les Beaux Monts Premier Cru,92,160.0,Burgundy,Vosne-Romanée,,Roger Voss,@vossroger,Louis Latour 2016 Les Beaux Monts Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Latour, 2016 Les Beaux Monts Premier Cru  (Vosne-Romanée),2016,Good
5788,France,"There's a wild character to the nose of this lean, tart Pinot. It offers aromas and flavors of game, sour cherry, tart raspberry and red currant, framed by soft tannins and a fleeting finish.",,83,10.0,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Maison de la Villette 2019 Pinot Noir (Vin de France),Pinot Noir,Maison de la Villette, 2019 Pinot Noir (Vin de France),2019,Bad
5806,France,"Hints of menthol and cherry cough drop are upfront on the nose. Flavors of red currant, rhubarb and sour raspberry appear on the crisp, tart palate, finishing clean yet short.",,83,9.0,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Patriarche Père et Fils 2018 Pinot Noir (Vin de France),Pinot Noir,Patriarche Père et Fils, 2018 Pinot Noir (Vin de France),2018,Bad
5825,France,"This light-colored, soft and supple wine has a palate filled with red fruits. It's immediately drinkable, already showing signs of maturity.",,84,24.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Manuel Olivier 2015  Bourgogne,Pinot Noir,Manuel Olivier, 2015  Bourgogne,2015,Bad
5874,France,"Ripe with a warm character, this wine has both bright red berry fruit and a rich, generous structure. Its fruitiness shows that it's still young—its acidity very much upfront. It will fill out and develop richness with time in bottle. Drink from 2024.",,88,40.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Labouré-Roi 2019  Savigny-lès-Beaune,Pinot Noir,Labouré-Roi, 2019  Savigny-lès-Beaune,2019,Mid
5967,France,A rather dull nose does not want to reveal much. The palate counters this with freshness and a rosehip tartness that has some bitter-edged redcurrant charm. This is fresh and easy and would also work as a chilled red.,Les Princes Abbés,87,20.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaines Schlumberger 2018 Les Princes Abbés Pinot Noir (Alsace),Pinot Noir,Domaines Schlumberger, 2018 Les Princes Abbés Pinot Noir (Alsace),2018,Mid
5968,France,"Red fruit dominates this attractive, light wine that shows the acidity of the year while also suggesting light tannins. The aftertaste has a touch of smokiness. It will develop quickly.",,87,27.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Faiveley 2018  Bourgogne,Pinot Noir,Faiveley, 2018  Bourgogne,2018,Mid
5983,France,"Slightly confected cherry notes open onto a rather soft, somewhat dilute palate with friendly, easy fruit. This might work as a refreshing summer red when chilled.",,87,19.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Hubert Meyer 2018 Pinot Noir (Alsace),Pinot Noir,Hubert Meyer, 2018 Pinot Noir (Alsace),2018,Mid
6459,France,"Deliciously perfumed, this shows some of the structure of the vintage, along with generous raspberry and red cherry flavors. It is rich and solid, and its open character has just the right edge of dense tannins. Already approachable, but it's likely to age over several years.",Les Millandes Premier Cru,91,94.0,Burgundy,Morey-Saint-Denis,,Roger Voss,@vossroger,Domaine Heresztyn 2014 Les Millandes Premier Cru  (Morey-Saint-Denis),Pinot Noir,Domaine Heresztyn, 2014 Les Millandes Premier Cru  (Morey-Saint-Denis),2014,Good
6460,France,"Firm, concentrated and solid, this has a tight core that's surrounded by sweeter dark-plum fruit. This is ripe and full bodied, with a definite need for aging.",Santenots Premier Cru,91,52.0,Burgundy,Volnay,,Roger Voss,@vossroger,Domaine Vincent Girardin 2014 Santenots Premier Cru  (Volnay),Pinot Noir,Domaine Vincent Girardin, 2014 Santenots Premier Cru  (Volnay),2014,Good
6519,France,"This is a lean, acid-driven wine, without much in the way of generous fruit. It has a green strawberry note, with a light sense of structure and a minerally finish.",La Minée,83,18.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,L. Tramier & Fils 2014 La Minée  (Bourgogne),Pinot Noir,L. Tramier & Fils, 2014 La Minée  (Bourgogne),2014,Bad
6617,France,"A rich and fruity wine with dense cherry and strawberry fruits and a dry, tannic structure. It has a tough edge that suggests aging potential while also bringing out a ripe character from this southernmost appellation in the Côte d'Or.",Clos Roussots Premier Cru,88,46.0,Burgundy,Maranges,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2014 Clos Roussots Premier Cru  (Maranges),Pinot Noir,Jean-Luc and Paul Aegerter, 2014 Clos Roussots Premier Cru  (Maranges),2014,Mid
6659,France,"Beautifully perfumed wine, with fresh red fruits and some fine tannins. The wood element is perhaps too dominant for the weight of the wine. Hopefully this will subside. Give it 3–4 years.",Les Rugiens Premier Cru,90,125.0,Burgundy,Pommard,,Roger Voss,@vossroger,Domaine Faiveley 2011 Les Rugiens Premier Cru  (Pommard),Pinot Noir,Domaine Faiveley, 2011 Les Rugiens Premier Cru  (Pommard),2011,Mid
6727,France,"A ripe, red berry-fruit flavored wine, highlighted with sweet cherries. At this young stage, it shows more fruit than structure. Tannins are here, likely to flesh out the wine as it develops. For the moment, enjoy the great swathes of sweet fruit.",Ile de Vergelesses Premier Cru,94,53.0,Burgundy,Pernand-Vergelesses,,Roger Voss,@vossroger,Domaine Chandon de Briailles 2010 Ile de Vergelesses Premier Cru  (Pernand-Vergelesses),Pinot Noir,Domaine Chandon de Briailles, 2010 Ile de Vergelesses Premier Cru  (Pernand-Vergelesses),2010,Good
6730,France,"Dark and structured, powered by smoky tannins and plum skin texture. The wine is just beginning, its weight an indication of good aging potential. It is firm and dense, the acidity providing an attractive final freshness.",,94,285.0,Burgundy,Grands-Echezeaux,,Roger Voss,@vossroger,Joseph Drouhin 2011  Grands-Echezeaux,Pinot Noir,Joseph Drouhin, 2011  Grands-Echezeaux,2011,Good
